actor,created_at,id,issue_id,issue_number,issue_title,milestone_id,milestone_number,milestone_title,team,type
user1,2017-04-28T21:42:33Z,5779773320,,,,,,,team1,PushEvent
user1,2017-04-28T21:41:50Z,5779769332,,,,,,,team1,PushEvent
user1,2017-04-28T21:40:26Z,5779761425,,,,,,,team1,PushEvent
user1,2017-04-28T21:36:58Z,5779742521,,,,,,,team1,PushEvent
user1,2017-04-28T01:03:41Z,5773229628,,,,,,,team1,PushEvent
user1,2017-04-28T01:03:22Z,5773228453,,,,,,,team1,PushEvent
user1,2017-04-28T01:02:20Z,5773224815,,,,,,,team1,PushEvent
user1,2017-04-27T20:20:18Z,5771746165,,,,,,,team1,PushEvent
user1,2017-04-27T19:16:25Z,5771314369,,,,,,,team1,PushEvent
user3,2017-04-26T21:58:41Z,5764300674,,,,,,,team1,PushEvent
user1,2017-04-26T20:57:07Z,5763895411,,,,,,,team1,PushEvent
user1,2017-04-26T20:25:28Z,5763670817,,,,,,,team1,PushEvent
user1,2017-04-25T18:58:54Z,5754678612,,,,,,,team1,PushEvent
user2,2017-04-09T20:08:45Z,5655751145,,,,,,,team1,CommitCommentEvent
user1,2017-04-07T23:45:26Z,5650798305,,,,,,,team1,PushEvent
user2,2017-04-06T04:38:44Z,5636226718,,,,,,,team1,PushEvent
user2,2017-03-09T05:39:08Z,5460506269,210361632.0,21.0,Database + GUI ,2307047.0,9.0,Design,team1,IssueCommentEvent
user1,2017-03-09T01:44:09Z,5459718977,,,,,,,team1,PushEvent
user2,2017-03-08T06:57:19Z,5453197148,,,,,,,team1,PushEvent
user1,2017-03-08T05:07:01Z,5452831944,,,,,,,team1,PushEvent
user1,2017-03-08T03:36:33Z,5452556986,,,,,,,team1,PushEvent
user1,2017-03-08T03:24:21Z,5452516326,212627458.0,30.0,Existing enrollment,2328351.0,11.0,Implementation - Facial recognition,team1,IssuesEvent
user1,2017-03-08T03:22:40Z,5452510674,209336531.0,17.0,FR Impl #4 : Add Database,2328351.0,11.0,Implementation - Facial recognition,team1,IssuesEvent
user1,2017-03-08T03:22:39Z,5452510655,209336531.0,17.0,FR Impl #4 : Add Database,2328351.0,11.0,Implementation - Facial recognition,team1,IssueCommentEvent
user1,2017-03-08T03:22:35Z,5452510404,212627230.0,29.0,General refactor #1,2328351.0,11.0,Implementation - Facial recognition,team1,IssuesEvent
user1,2017-03-08T03:17:57Z,5452494693,212626410.0,28.0,FR Impl #5 : View Daily Attendance,2328351.0,11.0,Implementation - Facial recognition,team1,IssuesEvent
user1,2017-03-08T03:17:57Z,5452494681,212626410.0,28.0,FR Impl #5 : View Daily Attendance,2328351.0,11.0,Implementation - Facial recognition,team1,IssueCommentEvent
user1,2017-03-08T03:16:14Z,5452488716,212626410.0,28.0,FR Impl #5 : View Daily Attendance,2328351.0,11.0,Implementation - Facial recognition,team1,IssuesEvent
user1,2017-03-07T02:52:23Z,5444456810,,,,,,,team1,PushEvent
user2,2017-03-03T19:33:26Z,5429853842,,,,,,,team1,PushEvent
user2,2017-03-02T04:56:38Z,5417427434,,,,,,,team1,PushEvent
user2,2017-03-02T02:57:34Z,5417040237,,,,,,,team1,PushEvent
user2,2017-03-02T00:24:08Z,5416412507,,,,,,,team1,PushEvent
user2,2017-03-01T16:38:07Z,5413395350,,,,,,,team1,PushEvent
timm,2017-03-01T14:48:15Z,5412541319,211102550.0,27.0,some interesting patterns in your work,,,,team1,IssuesEvent
user2,2017-03-01T04:20:36Z,5409480795,210361632.0,21.0,Database + GUI ,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-03-01T01:14:45Z,5408766461,,,,,,,team1,PushEvent
user3,2017-03-01T01:02:34Z,5408708267,209711224.0,18.0,Add Database-Finish Implementation(Engagement),2307047.0,9.0,Design,team1,IssuesEvent
user3,2017-03-01T01:02:34Z,5408708263,209711224.0,18.0,Add Database-Finish Implementation(Engagement),2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-03-01T01:00:28Z,5408697587,210370776.0,22.0,Creating SQL script to recreate database from github,2307047.0,9.0,Design,team1,IssuesEvent
user3,2017-03-01T01:00:28Z,5408697582,210370776.0,22.0,Creating SQL script to recreate database from github,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-03-01T00:59:49Z,5408694022,210372075.0,25.0,Professor side,2307047.0,9.0,Design,team1,IssuesEvent
user3,2017-03-01T00:59:49Z,5408694018,210372075.0,25.0,Professor side,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-03-01T00:58:25Z,5408687058,210373781.0,26.0,Report,2307044.0,8.0,Implementation,team1,IssuesEvent
user3,2017-03-01T00:58:25Z,5408687050,210373781.0,26.0,Report,2307044.0,8.0,Implementation,team1,IssueCommentEvent
user3,2017-03-01T00:57:49Z,5408683869,210371223.0,24.0,Finish and complete Engagement Implementation,,,,team1,IssueCommentEvent
user1,2017-03-01T00:22:29Z,5408516256,,,,,,,team1,PushEvent
user3,2017-03-01T00:13:17Z,5408474691,210373781.0,26.0,Report,2307044.0,8.0,Implementation,team1,IssueCommentEvent
user2,2017-02-28T23:42:07Z,5408329939,210373781.0,26.0,Report,2307044.0,8.0,Implementation,team1,IssueCommentEvent
user2,2017-02-28T23:40:06Z,5408320175,,,,,,,team1,PushEvent
user1,2017-02-28T22:55:10Z,5408090139,,,,,,,team1,PushEvent
user3,2017-02-28T22:14:09Z,5407860583,,,,,,,team1,PushEvent
user3,2017-02-28T22:11:49Z,5407847517,,,,,,,team1,PushEvent
user3,2017-02-28T11:13:44Z,5403971029,,,,,,,team1,PushEvent
user3,2017-02-28T11:11:54Z,5403961243,209711224.0,18.0,Add Database-Finish Implementation(Engagement),2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-28T11:09:15Z,5403946681,209712036.0,19.0,Need to go back and clean up Engagement implementation,,,,team1,IssueCommentEvent
user3,2017-02-28T03:43:57Z,5402025596,210361632.0,21.0,Database + GUI ,,,,team1,IssueCommentEvent
user3,2017-02-28T03:43:11Z,5402023082,210370964.0,23.0,Log in implementation,2307047.0,9.0,Design,team1,IssuesEvent
user3,2017-02-28T03:43:10Z,5402022988,210370964.0,23.0,Log in implementation,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-28T03:42:34Z,5402021080,210370964.0,23.0,Log in implementation,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-28T03:41:33Z,5402017790,209711224.0,18.0,Add Database-Finish Implementation(Engagement),2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-28T02:24:08Z,5401736476,,,,,,,team1,PushEvent
user3,2017-02-28T01:29:22Z,5401511852,,,,,,,team1,PushEvent
user2,2017-02-27T15:50:25Z,5397940731,,,,,,,team1,ForkEvent
user3,2017-02-27T13:44:12Z,5397072408,209712036.0,19.0,Need to go back and clean up Engagement implementation,,,,team1,IssueCommentEvent
user3,2017-02-27T13:41:27Z,5397055072,209711224.0,18.0,Add Database-Finish Implementation(Engagement),,,,team1,IssueCommentEvent
user3,2017-02-27T05:01:27Z,5394714307,210361632.0,21.0,Database + GUI ,,,,team1,IssueCommentEvent
user3,2017-02-27T04:41:05Z,5394663098,210361632.0,21.0,Database + GUI ,,,,team1,IssueCommentEvent
user2,2017-02-27T02:48:06Z,5394361494,210373781.0,26.0,Report,2307044.0,8.0,Implementation,team1,IssueCommentEvent
user2,2017-02-27T02:47:47Z,5394360603,210373781.0,26.0,Report,2307044.0,8.0,Implementation,team1,IssueCommentEvent
user2,2017-02-27T02:47:04Z,5394358523,210373781.0,26.0,Report,2307044.0,8.0,Implementation,team1,IssueCommentEvent
user3,2017-02-27T02:38:55Z,5394335017,210370776.0,22.0,Creating SQL script to recreate database from github,2307047.0,9.0,Design,team1,IssueCommentEvent
user1,2017-02-27T02:38:50Z,5394334834,210370964.0,23.0,Log in implementation,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-27T02:36:40Z,5394329053,210373781.0,26.0,Report,2307044.0,8.0,Implementation,team1,IssuesEvent
user1,2017-02-27T02:36:13Z,5394327807,210370776.0,22.0,Creating SQL script to recreate database from github,2307047.0,9.0,Design,team1,IssueCommentEvent
user2,2017-02-27T02:34:06Z,5394321924,210370776.0,22.0,Creating SQL script to recreate database from github,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-27T02:32:07Z,5394316646,210370776.0,22.0,Creating SQL script to recreate database from github,2307047.0,9.0,Design,team1,IssueCommentEvent
user2,2017-02-27T02:28:02Z,5394305302,210372075.0,25.0,Professor side,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-27T02:26:19Z,5394300706,210361632.0,21.0,Database + GUI ,,,,team1,IssueCommentEvent
user1,2017-02-27T02:25:09Z,5394297739,210372075.0,25.0,Professor side,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-27T02:24:25Z,5394295716,210372075.0,25.0,Professor side,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-27T02:22:15Z,5394289925,210372075.0,25.0,Professor side,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-27T02:20:12Z,5394284352,210372075.0,25.0,Professor side,2307047.0,9.0,Design,team1,IssuesEvent
user2,2017-02-27T02:17:58Z,5394278596,210370964.0,23.0,Log in implementation,2307047.0,9.0,Design,team1,IssueCommentEvent
user2,2017-02-27T02:16:54Z,5394276009,210361632.0,21.0,Database + GUI ,,,,team1,IssueCommentEvent
user1,2017-02-27T02:15:55Z,5394273421,210370964.0,23.0,Log in implementation,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-27T02:13:31Z,5394267309,210361632.0,21.0,Database + GUI ,,,,team1,IssueCommentEvent
user2,2017-02-27T02:11:52Z,5394263045,210370964.0,23.0,Log in implementation,2307047.0,9.0,Design,team1,IssueCommentEvent
user1,2017-02-27T02:11:35Z,5394262435,210370776.0,22.0,Creating SQL script to recreate database from github,2307047.0,9.0,Design,team1,IssueCommentEvent
user2,2017-02-27T02:11:24Z,5394261986,210370964.0,23.0,Log in implementation,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-27T02:11:19Z,5394261786,210371223.0,24.0,Finish and complete Engagement Implementation,,,,team1,IssuesEvent
user2,2017-02-27T02:09:01Z,5394255605,210370776.0,22.0,Creating SQL script to recreate database from github,2307047.0,9.0,Design,team1,IssueCommentEvent
user3,2017-02-27T02:08:36Z,5394254598,210370964.0,23.0,Log in implementation,,,,team1,IssuesEvent
user3,2017-02-27T02:06:26Z,5394249003,210370776.0,22.0,Creating SQL script to recreate database from github,2307047.0,9.0,Design,team1,IssuesEvent
user2,2017-02-27T00:17:26Z,5393999104,210361632.0,21.0,Database + GUI ,,,,team1,IssueCommentEvent
user2,2017-02-27T00:15:58Z,5393996096,210361632.0,21.0,Database + GUI ,,,,team1,IssuesEvent
user2,2017-02-26T23:06:48Z,5393852993,209904765.0,20.0,Database work ,,,,team1,IssueCommentEvent
